"duration","src_bytes","hot","num_root","num_file_creations","is_guest_login","serror_rate","srv_serror_rate","rerror_rate","dst_host_srv_count","dst_host_same_srv_rate","dst_host_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","connection_type"
"1099007",0,0,0,0,0,0,1,1,0,18,0.07,1,0,0,"bad"
"15074",0,244,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"3244782",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3601912",0,0,0,0,0,0,1,1,0,19,0.07,1,0,0,"bad"
"594699",0,0,0,0,0,0,1,1,0,12,0.05,1,0,0,"bad"
"923160",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4774739",0,105,0,0,0,0,0,0,0,246,0.96,0,0,0,"good"
"2914155",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2610883",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1269401",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4495183",0,105,0,0,0,0,0,0,0,235,0.92,0,0,0,"good"
"3946745",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1283310",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2163920",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2013761",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4391345",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2872414",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3335424",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3074441",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2618134",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1143858",0,0,0,0,0,0,1,1,0,10,0.04,1,0,0,"bad"
"1172753",0,0,0,0,0,0,1,1,0,6,0.02,1,0,0,"bad"
"363278",0,319,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"665031",0,0,0,0,0,0,1,1,0,15,0.06,1,0,0,"bad"
"3128835",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1301390",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2776083",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"387774",0,229,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"4440275",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2226976",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3955989",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"26305",0,318,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"3834200",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"4061461",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3562794",0,0,0,0,0,0,1,1,0,11,0.04,1,0,0,"bad"
"3959317",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2672977",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2098875",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
